,Symbol,Exchange,Volume,Volume %,+2% Depth,-2% Depth
9648,LTC/TRY,Paribu,472641.57982788,0.016285944554358372,52224.4552866,184552.27931982
9649,LTC/TRX,Cat.Ex,5267144.11010104,0.1814914738736256,35.8403732,695.06162092
9650,LTC/THB,Bitkub,550410.71701092,0.01896565770330416,88310.79744659,97989.69706378
9651,LTC/THB,Zipmex,68201.83179219,0.0023500498019615053,42274.69119453,65030.47773812
9652,LTC/THB,Satang Pro,4292.51352393,0.0001479083521915601,8977.07018987,7692.33422918
9653,LTC/SGD,Zipmex,15711.8357426,0.0005413871666651783,239431.7361505,231988.68664774
9654,LTC/SGD,Tokenize Xchange,7404.55589089,0.0002551408759521264,1166863.07167204,2008279.84209478
9655,LTC/SGD,CRXzone,0.0,0.0,33749.50892677,21235.00001147
9656,LTC/SCC,StakeCube,687.63469134,2.3694022986498115e-05,5.50639101,340.85329055
9657,LTC/RUB,EXMO,340207.75135217,0.011722634681235791,17261.38959358,20677.51268373
9658,LTC/RUB,Binance,172743.59732422,0.005952274975822402,41136.13758743,34816.66001756
9659,LTC/RUB,WhiteBIT,53137.89705523,0.0018309875434400597,17317.92686793,17876.29458126
9660,LTC/RUB,Currency.com,33561.7376217,0.0011564462827286105,1662644.03643319,1662644.03643319
9661,LTC/RUB,BITStorage,4929.06483603,0.00016984218073588735,0.0,0.0
9662,LTC/QC,ZB.COM,1526392.9879358,0.05259535476911819,228013.93048288,273167.05181812
9663,LTC/QC,ZBG,451220.62000848,0.015547836485138288,158211.84313913,137356.74477547
9664,LTC/PLN,BitBay,67933.41100136,0.002340800750876566,62415.33661289,102660.71592413
9665,LTC/OKB,OKEx,9939569.0852946,0.3424905423603905,25934.15641702,50407.76925872
9666,LTC/NZD,Independent Reserve,0.0,0.0,44116.05889492,26210.87254809
9667,LTC/NGN,Luno,6993.39665566,0.00024097344592955696,2393.02747154,1051.27373414
9668,LTC/MYR,Luno,516020.71708953,0.01778067175232603,83006.80628111,90153.1006402
9669,LTC/MXN,Bitso,516651.9060024,0.01780242080716388,142135.95578949,197204.19180232
9670,LTC/LCX,LCX Exchange,105.35168958,3.6301329557858056e-06,16.37614987,710.14566038
9671,LTC/KRW,Bithumb,24969393.82045897,0.8603774629054463,239244.33467667,456589.20348365
9672,LTC/KRW,Upbit,15475760.30628913,0.5332526486064734,94910.11551363,408244.39245262
9673,LTC/KRW,Coinone,1346934.69768937,0.046411709720712506,142967.20454294,211472.91750981
9674,LTC/KRW,Korbit,25596.36988419,0.0008819813544093463,31009.07884444,37186.22309179
9675,LTC/KRW,Dove Wallet,0.0,0.0,19.38944207,1.37659776
9676,LTC/KCS,KuCoin,71866.62727101,0.002476328695986997,13306.07369126,11758.8951488
9677,LTC/JPY,Bitbank,1407536.22188933,0.04849987357500051,152173.56694612,286233.50313205
9678,LTC/JPY,Kraken,663.65391407,2.2867710563600702e-05,219377.47799772,245336.17843751
9679,LTC/IRR,FarhadMarket,194822.38552158,0.006713050023461189,1573.05130047,199.76846877
9680,LTC/INR,Koinbazar,565669.1869054,0.0194914231147526,0.0,0.0
9681,LTC/INR,Bitbns,250543.05054646,0.008633032733102687,116425.09879344,210051.05908746
9682,LTC/INR,WazirX,178876.96036564,0.00616361400033373,28705.78258681,421397.54464034
9683,LTC/INR,ZebPay,78653.20125889,0.002710175594774264,1490.2657889,6078.83502408
9684,LTC/INR,CoinDCX,68405.56809265,0.002357070001272387,1522.92043743,303.97781239
9685,LTC/IDR,Rekeningku.com,126333.48979976,0.004353108778509811,15157437685.222769,11088001451.201422
9686,LTC/IDR,Indodax,97799.03821953,0.0033698891123647356,72417.03920555,126832.9016286
9687,LTC/IDR,Zipmex,4715.40564032,0.00016248006541770262,588315.20407413,504577.15621907
9688,LTC/IDR,Triv Pro,486.03142102,1.6747322098259486e-05,78038.89097578,137826.10489626
9689,LTC/IDR,digitalexchange.id,37.37291197,1.287768994848035e-06,66.38608148,183809410.14304775
9690,LTC/HUSD,Huobi Global,433385.60679234,0.0149332903919442,54018.64326168,52010.81286982
9691,LTC/HT,Huobi Global,146558.00769837,0.005049990710174263,71263.8212935,22283.89711936
9692,LTC/GBP,Coinbase Exchange,4724146.16990884,0.16278124031710825,298063.49141814,290861.48223794
9693,LTC/GBP,Bitstamp,590020.13513859,0.020330490623193573,62489.59418038,104988.90816589
9694,LTC/GBP,Binance,307354.65250863,0.010590606165252087,58521.31572495,47508.17616233
9695,LTC/GBP,CEX.IO,101855.53493318,0.0035096649665913126,12221.94489501,10404.61448764
9696,LTC/GBP,Kraken,41415.21227937,0.001427055679558338,141105.5601303,137831.04527317
9697,LTC/EUR,IndoEx,17817771.25391409,0.613951982026547,7516749.84092688,976618.24702782
9698,LTC/EUR,Coinbase Exchange,6326950.90700998,0.21800953633244824,377016.14380356,490081.93965402
9699,LTC/EUR,Bitstamp,3517639.2844729,0.1212082914288262,414437.40216341,562892.6534688
9700,LTC/EUR,Binance,2242200.05576857,0.07726012129809695,127147.93161284,154758.90691121
9701,LTC/EUR,Kraken,1677122.68952169,0.05778909071511078,822858.5520738,1024151.66139304
9702,LTC/ETH,IndoEx,22695341.43518897,0.7820197968835518,741654.33544337,1028149.14282783
9703,LTC/ETH,PayBito,22084377.43503769,0.7609676375817903,4632729.64650916,6588780.92299903
9704,LTC/ETH,BitMart,19582161.32096925,0.674748069443962,23223.38283148,58090.27972798
9705,LTC/ETH,ATAIX,12722265.90072237,0.4383747133301766,25238.5789152,15882.89880009
9706,LTC/ETH,Binance,9596665.44503399,0.33067501467278065,127240.67838779,365810.07104161
9707,LTC/EOS,HitBTC,215.07757538,7.410988827517233e-06,1339147.47690789,1107685.05061021
