,slug,Exchange,Symbol,Base,Quote,Price,+2% Depth,-2% Depth,Volume,Volume %,Liquidity,Updated,rn
10386,tron,Poloniex,SXP/TRX,SXP,TRX,0.1008336911666,340.18415095,787.93278523,291.31584973,2.2946363954853414e-05,0.0003762912,2021-10-10T17:16:53.000Z,1
10387,tron,Poloniex,SWINGBY/TRX,SWINGBY,TRX,0.1008336911666,347.11930636,1e-08,152.62269998,1.202178331443126e-05,4.25e-08,2021-10-10T17:16:53.000Z,1
10388,tron,Poloniex,SWFTC/TRX,SWFTC,TRX,0.1008336911666,241.88764545,78.49567246,0.0,0.0,4.2315644336,2021-10-10T17:16:53.000Z,1
10389,tron,Poloniex,STEEM/TRX,STEEM,TRX,0.1004727920127,30.60741125,47.23548588,549.178342,4.325767418193872e-05,16.9314574863,2021-10-10T17:17:53.000Z,1
10390,tron,PoloniDEX,SPKL/TRX,SPKL,TRX,0.1008336911666,3.18e-06,4.537e-05,12.44791917,9.804975734075272e-07,0.0,2021-10-10T17:15:10.000Z,1
10391,tron,Finexbox,SPIZ/TRX,SPIZ,TRX,0.1008336911666,347.33083321,104.32692453,3.26801533,2.574149990181531e-07,0.0,2021-10-10T17:15:07.000Z,1
10392,tron,LATOKEN,SPH/TRX,SPH,TRX,0.1008336911666,0.0597026,0.0597026,570.84506735,4.496431858886592e-05,1.66e-08,2021-10-10T17:15:07.000Z,1
10393,tron,PoloniDEX,SOUL/TRX,SOUL,TRX,0.1008336911666,0.00066035,6.427e-05,0.0,0.0,0.0,2021-10-10T17:15:10.000Z,1
10394,tron,TronTrade,SOUL/TRX,SOUL,TRX,0.1008336911666,0.0,0.0,0.0,0.0,0.0,2021-10-10T17:15:10.000Z,2
10395,tron,Poloniex,SNX/TRX,SNX,TRX,0.1008336911666,219.22339247,179.1749143,442.82533038,3.488046122016845e-05,25.9802824381,2021-10-10T17:16:53.000Z,1
10396,tron,Finexbox,SNN/TRX,SNN,TRX,0.1008336911666,0.14477445,0.04348556,0.0,0.0,0.0,2021-10-10T17:15:07.000Z,1
10397,tron,Cat.Ex,SHMN/TRX,SHMN,TRX,0.1008336911666,141.72558231,1.52338324,0.0,0.0,3.15273e-05,2021-10-10T17:15:08.000Z,1
10398,tron,LATOKEN,SHDC/TRX,SHDC,TRX,0.1008336911666,0.04109496,0.00948346,86.80908063,6.8377767998836834e-06,1.22e-08,2021-10-10T17:15:07.000Z,1
10399,tron,Alterdice,SHDC/TRX,SHDC,TRX,0.1008336911666,4.7417253,15.80258983,0.0,0.0,0.0,2021-10-10T17:15:10.000Z,2
10400,tron,TronTrade,SEED/TRX,SEED,TRX,0.1008336911666,0.0,0.0,0.0,0.0,0.0,2021-10-10T17:15:10.000Z,1
10401,tron,JustSwap,SEAD/TRX,SEAD,TRX,0.10083369116659992,0.0,0.0,1219.14412566,9.602953236751064e-05,0.0,2021-10-10T17:15:10.000Z,1
10402,tron,PoloniDEX,SCC/TRX,SCC,TRX,0.1004727920127,1e-08,4.66e-06,0.0,0.0,0.0,2021-10-10T17:15:10.000Z,1
10403,tron,TronTrade,SCC/TRX,SCC,TRX,0.1004727920127,0.0,0.0,0.0,0.0,0.0,2021-10-10T17:15:10.000Z,2
10404,tron,Cat.Ex,SAFEETH/TRX,SAFEETH,TRX,0.1008336911666,39.38991812,3.06754834,0.0,0.0,0.0,2021-10-10T17:15:08.000Z,1
10405,tron,Cat.Ex,ROX/TRX,ROX,TRX,0.1008336911666,115.60425916,27.01454511,0.0,0.0,1.5241273023,2021-10-10T17:15:08.000Z,1
10406,tron,JustSwap,RLE/TRX,RLE,TRX,0.10083369116707624,0.0,0.0,91.00904416,7.168599485452674e-06,0.0,2021-10-10T17:15:10.000Z,1
10407,tron,PoloniDEX,RLE/TRX,RLE,TRX,0.1008336911666,9.46e-05,4.222e-05,52.14514856,4.1073685432723615e-06,0.0,2021-10-10T17:15:10.000Z,2
10408,tron,LATOKEN,REDPANDA/TRX,REDPANDA,TRX,0.10083369116659494,590.29815266,123.9806911,2362.63554808,0.00018610005335846044,0.0002130648,2021-10-10T17:15:07.000Z,1
10409,tron,PoloniDEX,RANK/TRX,RANK,TRX,0.1008336911666,2.426e-05,0.00025467,0.0,0.0,0.0,2021-10-10T17:15:10.000Z,1
10410,tron,Cat.Ex,QTUM/TRX,QTUM,TRX,0.1008336911666,15.20776458,8222.61067142,6376790.75914107,0.502286991108841,15.0597216628,2021-10-10T17:15:08.000Z,1
10411,tron,TronTrade,PLAY/TRX,PLAY,TRX,0.1008336911666,0.0,0.0,0.0,0.0,0.0,2021-10-10T17:15:10.000Z,1
10412,tron,TronTrade,PLAT/TRX,PLAT,TRX,0.1008336911666,0.0,0.0,783.47778036,6.171297001293876e-05,0.0,2021-10-10T17:15:10.000Z,1
10413,tron,JustSwap,PALLA/TRX,PALLA,TRX,0.10127968039797072,0.0,0.0,2756.77452526,0.00021714558839388068,0.0,2021-10-10T17:15:10.000Z,1
10414,tron,PoloniDEX,PAL/TRX,PAL,TRX,0.1008336911666,2.135e-05,3.33e-06,12859.31494332,0.0010129023915897112,0.0,2021-10-10T17:15:10.000Z,1
10415,tron,PoloniDEX,NOLE/TRX,NOLE,TRX,0.1008336911666,0.00333414,1.991e-05,0.0,0.0,0.0,2021-10-10T17:15:10.000Z,1
10416,tron,TronTrade,NOLE/TRX,NOLE,TRX,0.1008336911666,0.0,0.0,0.0,0.0,0.0,2021-10-10T17:15:10.000Z,2
10417,tron,Poloniex,NFT/TRX,NFT,TRX,0.1008336911666,2174.56298664,1682.70129228,31644.29084934,0.0024925571869679713,0.0010006233,2021-10-10T17:16:53.000Z,1
10418,tron,KuCoin,NFT/TRX,NFT,TRX,0.1008336911666,4378.493592,5911.18205881,4718.89545248,0.00037169791007893044,0.0014611897,2021-10-10T17:16:53.000Z,2
10419,tron,Poloniex,NEO/TRX,NEO,TRX,0.1008336911666,977.6478059,922.09903151,534.16134666,4.207481564231807e-05,47.1107512493,2021-10-10T17:16:53.000Z,1
10420,tron,LATOKEN,MRC/TRX,MRC,TRX,0.09735227847095,0.14929051,20.99453218,21.39045222,1.6848829277704611e-06,5.69885e-05,2021-10-10T17:15:07.000Z,1
10421,tron,JustSwap,MILK/TRX,MILK,TRX,0.10083369116660036,0.0,0.0,664.41579297,5.2334696574087965e-05,0.0,2021-10-10T17:15:10.000Z,1
10422,tron,JustSwap,MEGA/TRX,MEGA,TRX,0.1008336911666,0.0,0.0,1263.42791091,9.951767712374987e-05,0.0,2021-10-10T17:15:10.000Z,1
